Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,DOGE_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,LISK_start_date,price_close,volume_traded,WAVES_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,SC_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,LINK_start_date,price_close,volume_traded
Feb,2020-02-18T00:00:00.0000000Z,9671.5,18805.00438,2020-02-18T00:00:00.0000000Z,262.48,397553.6073,2020-02-18T00:00:00.0000000Z,75.04,130179.2523,2020-02-18T00:00:00.0000000Z,0.058516,32414492.43,2020-02-18T00:00:00.0000000Z,0.0026,20076146.52,2020-02-18T00:00:00.0000000Z,0.07034,26391942.18,2020-02-18T00:00:00.0000000Z,0.27563,82131033.26,2020-02-18T00:00:00.0000000Z,1.425039,201061.8767,2020-02-18T00:00:00.0000000Z,1.4034,167729.9234,2020-02-18T00:00:00.0000000Z,0.27563,82131033.26,2020-02-18T00:00:00.0000000Z,0.00301,86986862.83,2020-02-18T00:00:00.0000000Z,1.0017,10895597.68,2020-02-18T00:00:00.0000000Z,104.462,12648.90773,2020-02-18T00:00:00.0000000Z,4.08493,720432.8528
Feb,2020-02-23T00:00:00.0000000Z,8810.3,23771.11338,2020-02-23T00:00:00.0000000Z,227.5,488500.845,2020-02-23T00:00:00.0000000Z,61.61,203949.5569,2020-02-23T00:00:00.0000000Z,0.049404,50905427.62,2020-02-23T00:00:00.0000000Z,0.0022966,20491551.45,2020-02-23T00:00:00.0000000Z,0.059867,34293237.91,2020-02-23T00:00:00.0000000Z,0.23815,93354175.69,2020-02-23T00:00:00.0000000Z,1.273,312158.9556,2020-02-23T00:00:00.0000000Z,1.1892,148808.8486,2020-02-23T00:00:00.0000000Z,0.23815,93354175.69,2020-02-23T00:00:00.0000000Z,0.00244,73107001.99,2020-02-23T00:00:00.0000000Z,0.9994,12542325.85,2020-02-23T00:00:00.0000000Z,89.495,20297.84792,2020-02-23T00:00:00.0000000Z,3.9551,940938.111
Feb,2020-02-28T00:00:00.0000000Z,8752.8,18638.78882,2020-02-28T00:00:00.0000000Z,223.53,344720.8374,2020-02-28T00:00:00.0000000Z,60.98,102950.6165,2020-02-28T00:00:00.0000000Z,0.04868,24892972.32,2020-02-28T00:00:00.0000000Z,0.002492,21102054.8,2020-02-28T00:00:00.0000000Z,0.058313,19912377.34,2020-02-28T00:00:00.0000000Z,0.2339,56279896.57,2020-02-28T00:00:00.0000000Z,1.362853,119208.301,2020-02-28T00:00:00.0000000Z,1.1624,126069.2861,2020-02-28T00:00:00.0000000Z,0.2339,56279896.57,2020-02-28T00:00:00.0000000Z,0.00228,21580959.97,2020-02-28T00:00:00.0000000Z,1.0006,9609690.196,2020-02-28T00:00:00.0000000Z,88.923,8728.079888,2020-02-28T00:00:00.0000000Z,4.56379,1022687.137
March,2020-03-04T00:00:00.0000000Z,8037.1,21300.06613,2020-03-04T00:00:00.0000000Z,199.33,367953.4975,2020-03-04T00:00:00.0000000Z,50.98,103061.459,2020-03-04T00:00:00.0000000Z,0.042818,23077271.01,2020-03-04T00:00:00.0000000Z,0.0022244,21321570.16,2020-03-04T00:00:00.0000000Z,0.049507,28498272.48,2020-03-04T00:00:00.0000000Z,0.20396,58798256.26,2020-03-04T00:00:00.0000000Z,1.145842,92357.03704,2020-03-04T00:00:00.0000000Z,1.09,256851.2618,2020-03-04T00:00:00.0000000Z,0.20396,58798256.26,2020-03-04T00:00:00.0000000Z,0.00179,49284789.38,2020-03-04T00:00:00.0000000Z,1.0006,12470318.07,2020-03-04T00:00:00.0000000Z,73.968,17178.61897,2020-03-04T00:00:00.0000000Z,4.05,1470775.053
March,2020-03-09T00:00:00.0000000Z,5630.2,99250.65135,2020-03-09T00:00:00.0000000Z,135.45,1590895.342,2020-03-09T00:00:00.0000000Z,37.89,477297.4143,2020-03-09T00:00:00.0000000Z,0.028419,135913337.3,2020-03-09T00:00:00.0000000Z,0.0017395,105171159,2020-03-09T00:00:00.0000000Z,0.040027,68161660.81,2020-03-09T00:00:00.0000000Z,0.16031,326912687.7,2020-03-09T00:00:00.0000000Z,0.852235,224822.8846,2020-03-09T00:00:00.0000000Z,0.874,606991.3581,2020-03-09T00:00:00.0000000Z,0.16031,326912687.7,2020-03-09T00:00:00.0000000Z,0.0012,123432753.4,2020-03-09T00:00:00.0000000Z,1.0099,31455338.57,2020-03-09T00:00:00.0000000Z,51.459,39889.13482,2020-03-09T00:00:00.0000000Z,2.4459,2558154.146
March,2020-03-14T00:00:00.0000000Z,5415.2,85068.96045,2020-03-14T00:00:00.0000000Z,118.61,685918.3146,2020-03-14T00:00:00.0000000Z,34.71,230616.0994,2020-03-14T00:00:00.0000000Z,0.026146,67599182.71,2020-03-14T00:00:00.0000000Z,0.0016031,83999472.09,2020-03-14T00:00:00.0000000Z,0.037,25312645.63,2020-03-14T00:00:00.0000000Z,0.14803,137607787.4,2020-03-14T00:00:00.0000000Z,1.059258,153703.7934,2020-03-14T00:00:00.0000000Z,0.8576,235401.5266,2020-03-14T00:00:00.0000000Z,0.14803,137607787.4,2020-03-14T00:00:00.0000000Z,0.00109,96801345.9,2020-03-14T00:00:00.0000000Z,1.0034,28853494.81,2020-03-14T00:00:00.0000000Z,62.613,28339.46369,2020-03-14T00:00:00.0000000Z,1.95312,2033444.765
March,2020-03-19T00:00:00.0000000Z,6505.1,82508.26809,2020-03-19T00:00:00.0000000Z,136.58,801371.1479,2020-03-19T00:00:00.0000000Z,39.14,206110.1734,2020-03-19T00:00:00.0000000Z,0.029141,66585815.71,2020-03-19T00:00:00.0000000Z,0.0017962,38138618.59,2020-03-19T00:00:00.0000000Z,0.039547,28837544.83,2020-03-19T00:00:00.0000000Z,0.15905,118462868.6,2020-03-19T00:00:00.0000000Z,1.027986,137103.5001,2020-03-19T00:00:00.0000000Z,0.9264,244040.3293,2020-03-19T00:00:00.0000000Z,0.15905,118462868.6,2020-03-19T00:00:00.0000000Z,0.00135,69620260.5,2020-03-19T00:00:00.0000000Z,1.004,23929388.22,2020-03-19T00:00:00.0000000Z,71.265,44133.01274,2020-03-19T00:00:00.0000000Z,2.24235,2239621.064
March,2020-03-24T00:00:00.0000000Z,6251.8,52310.84886,2020-03-24T00:00:00.0000000Z,131.38,359988.6901,2020-03-24T00:00:00.0000000Z,39.01,135916.4283,2020-03-24T00:00:00.0000000Z,0.029928,41934982.32,2020-03-24T00:00:00.0000000Z,0.0017706,18443678.94,2020-03-24T00:00:00.0000000Z,0.04,18995463.58,2020-03-24T00:00:00.0000000Z,0.17569,148807673.5,2020-03-24T00:00:00.0000000Z,0.968963,49338.06466,2020-03-24T00:00:00.0000000Z,0.817,68782.07558,2020-03-24T00:00:00.0000000Z,0.17569,148807673.5,2020-03-24T00:00:00.0000000Z,0.00122,48717143.27,2020-03-24T00:00:00.0000000Z,1.0023,20121628.05,2020-03-24T00:00:00.0000000Z,65.533,21540.87228,2020-03-24T00:00:00.0000000Z,2.1434,1184189.848
March,2020-03-29T00:00:00.0000000Z,6803.8,53156.5393,2020-03-29T00:00:00.0000000Z,141.48,308795.8267,2020-03-29T00:00:00.0000000Z,39.96,101489.3017,2020-03-29T00:00:00.0000000Z,0.031946,36037505.38,2020-03-29T00:00:00.0000000Z,0.001865,27478848.48,2020-03-29T00:00:00.0000000Z,0.04111,14079615.06,2020-03-29T00:00:00.0000000Z,0.17854,87432448.24,2020-03-29T00:00:00.0000000Z,0.974836,65199.40826,2020-03-29T00:00:00.0000000Z,0.9627,342364.0275,2020-03-29T00:00:00.0000000Z,0.17854,87432448.24,2020-03-29T00:00:00.0000000Z,0.00129,37059135.15,2020-03-29T00:00:00.0000000Z,1.0005,22643229.51,2020-03-29T00:00:00.0000000Z,67.532,13504.57602,2020-03-29T00:00:00.0000000Z,2.29278,1222471.903
April,2020-04-03T00:00:00.0000000Z,7206.2,44226.38171,2020-04-03T00:00:00.0000000Z,164.6,388998.2372,2020-04-03T00:00:00.0000000Z,44.76,116878.2684,2020-04-03T00:00:00.0000000Z,0.035191,39826612.11,2020-04-03T00:00:00.0000000Z,0.0019762,10275316.21,2020-04-03T00:00:00.0000000Z,0.048299,20058024.61,2020-04-03T00:00:00.0000000Z,0.1929,71391954.9,2020-04-03T00:00:00.0000000Z,1.037297,67098.07386,2020-04-03T00:00:00.0000000Z,0.9907,327680.5031,2020-04-03T00:00:00.0000000Z,0.1929,71391954.9,2020-04-03T00:00:00.0000000Z,0.00142,36523137.75,2020-04-03T00:00:00.0000000Z,1.0001,21970369.83,2020-04-03T00:00:00.0000000Z,72.045,14628.32765,2020-04-03T00:00:00.0000000Z,2.73284,1379245.797
