Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded
March,2018-03-25T00:00:00.0000000Z,7080.1,54198.6478,2018-03-25T00:00:00.0000000Z,383.56,407643.8928,2018-03-25T00:00:00.0000000Z,114.4,146224.8757,2018-03-25T00:00:00.0000000Z,0.5016,43814790.75,2018-03-25T00:00:00.0000000Z,0.189005,30896072.64,2018-03-25T00:00:00.0000000Z,0.5016,43814790.75,2018-03-25T00:00:00.0000000Z,0.9974,7581727.861,2018-03-25T00:00:00.0000000Z,325.663,7976.413412,2018-03-25T00:00:00.0000000Z,0,0
March,2018-03-30T00:00:00.0000000Z,7414.8,63269.15645,2018-03-30T00:00:00.0000000Z,415.84,417390.7274,2018-03-30T00:00:00.0000000Z,133.87,122168.5626,2018-03-30T00:00:00.0000000Z,0.54908,56532790.06,2018-03-30T00:00:00.0000000Z,0.230028,39088080.52,2018-03-30T00:00:00.0000000Z,0.54908,56532790.06,2018-03-30T00:00:00.0000000Z,1,6904351.677,2018-03-30T00:00:00.0000000Z,340.5,11197.79578,2018-03-30T00:00:00.0000000Z,0,0
April,2018-04-04T00:00:00.0000000Z,7014.5,41799.72168,2018-04-04T00:00:00.0000000Z,399.99,247525.6018,2018-04-04T00:00:00.0000000Z,117.75,93047.95454,2018-04-04T00:00:00.0000000Z,0.49692,32011165.13,2018-04-04T00:00:00.0000000Z,0.2049,26646244.93,2018-04-04T00:00:00.0000000Z,0.49692,32011165.13,2018-04-04T00:00:00.0000000Z,0.9977,8195018.635,2018-04-04T00:00:00.0000000Z,309.388,4095.161094,2018-04-04T00:00:00.0000000Z,0,0
April,2018-04-09T00:00:00.0000000Z,7882.5,44502.02843,2018-04-09T00:00:00.0000000Z,494.32,450216.2845,2018-04-09T00:00:00.0000000Z,125.21,112535.55,2018-04-09T00:00:00.0000000Z,0.6416,70007118.19,2018-04-09T00:00:00.0000000Z,0.247083,40958952.45,2018-04-09T00:00:00.0000000Z,0.6416,70007118.19,2018-04-09T00:00:00.0000000Z,1,7463843.612,2018-04-09T00:00:00.0000000Z,351.524,8487.958761,2018-04-09T00:00:00.0000000Z,0,0
April,2018-04-14T00:00:00.0000000Z,8170,25972.11641,2018-04-14T00:00:00.0000000Z,525.76,243922.4972,2018-04-14T00:00:00.0000000Z,140.21,83082.96173,2018-04-14T00:00:00.0000000Z,0.7122,39030179.53,2018-04-14T00:00:00.0000000Z,0.3538,50952011.92,2018-04-14T00:00:00.0000000Z,0.7122,39030179.53,2018-04-14T00:00:00.0000000Z,0.9996,5395999.401,2018-04-14T00:00:00.0000000Z,424.96,5146.896537,2018-04-14T00:00:00.0000000Z,0,0
April,2018-04-19T00:00:00.0000000Z,8954.1,24602.59151,2018-04-19T00:00:00.0000000Z,646.3,290740.6664,2018-04-19T00:00:00.0000000Z,152.59,92268.16327,2018-04-19T00:00:00.0000000Z,0.87343,67714903.57,2018-04-19T00:00:00.0000000Z,0.3733,49275180.73,2018-04-19T00:00:00.0000000Z,0.87343,67714903.57,2018-04-19T00:00:00.0000000Z,1.0023,4437637.909,2018-04-19T00:00:00.0000000Z,505.347,6895.79416,2018-04-19T00:00:00.0000000Z,0,0
April,2018-04-24T00:00:00.0000000Z,9339.2,41001.33418,2018-04-24T00:00:00.0000000Z,683.87,393397.5861,2018-04-24T00:00:00.0000000Z,151.62,121565.1045,2018-04-24T00:00:00.0000000Z,0.86032,74019666.95,2018-04-24T00:00:00.0000000Z,0.429635,49312968.42,2018-04-24T00:00:00.0000000Z,0.86032,74019666.95,2018-04-24T00:00:00.0000000Z,1.0005,12681175.37,2018-04-24T00:00:00.0000000Z,498.653,9165.685527,2018-04-24T00:00:00.0000000Z,0,0
April,2018-04-29T00:00:00.0000000Z,9735.9,23680.18635,2018-04-29T00:00:00.0000000Z,776.75,250589.4659,2018-04-29T00:00:00.0000000Z,161.39,80568.2539,2018-04-29T00:00:00.0000000Z,0.87344,37699592.19,2018-04-29T00:00:00.0000000Z,0.436,32748034.51,2018-04-29T00:00:00.0000000Z,0.87344,37699592.19,2018-04-29T00:00:00.0000000Z,0.9965,11236823.99,2018-04-29T00:00:00.0000000Z,504.619,4394.323077,2018-04-29T00:00:00.0000000Z,0,0
May,2018-05-04T00:00:00.0000000Z,9172.7,18582.18071,2018-05-04T00:00:00.0000000Z,748.38,257331.5536,2018-05-04T00:00:00.0000000Z,158.8,119839.3454,2018-05-04T00:00:00.0000000Z,0.80581,33496169.67,2018-05-04T00:00:00.0000000Z,0.38229,14950214.66,2018-05-04T00:00:00.0000000Z,0.80581,33496169.67,2018-05-04T00:00:00.0000000Z,1.0001,15245318.56,2018-05-04T00:00:00.0000000Z,441.702,3873.307981,2018-05-04T00:00:00.0000000Z,0,0
May,2018-05-09T00:00:00.0000000Z,8698.2,22893.84887,2018-05-09T00:00:00.0000000Z,729.79,259126.4698,2018-05-09T00:00:00.0000000Z,144.31,71340.03009,2018-05-09T00:00:00.0000000Z,0.73015,54957289,2018-05-09T00:00:00.0000000Z,0.36902,27758443.91,2018-05-09T00:00:00.0000000Z,0.73015,54957289,2018-05-09T00:00:00.0000000Z,1,12685482.59,2018-05-09T00:00:00.0000000Z,416.878,3349.62343,2018-05-09T00:00:00.0000000Z,0,0
May,2018-05-14T00:00:00.0000000Z,8231.9,24641.60968,2018-05-14T00:00:00.0000000Z,692.33,213155.7573,2018-05-14T00:00:00.0000000Z,135.97,74007.58698,2018-05-14T00:00:00.0000000Z,0.67537,34244693.97,2018-05-14T00:00:00.0000000Z,0.317,20506600.97,2018-05-14T00:00:00.0000000Z,0.67537,34244693.97,2018-05-14T00:00:00.0000000Z,0.9979,7034931.922,2018-05-14T00:00:00.0000000Z,393.049,3914.066092,2018-05-14T00:00:00.0000000Z,0,0
May,2018-05-19T00:00:00.0000000Z,7500.3,19882.58062,2018-05-19T00:00:00.0000000Z,577.15,206806.8899,2018-05-19T00:00:00.0000000Z,118.61,36491.09743,2018-05-19T00:00:00.0000000Z,0.59164,22676694.35,2018-05-19T00:00:00.0000000Z,0.275997,14337091.26,2018-05-19T00:00:00.0000000Z,0.59164,22676694.35,2018-05-19T00:00:00.0000000Z,0.9998,6319353.396,2018-05-19T00:00:00.0000000Z,339.932,4157.77221,2018-05-19T00:00:00.0000000Z,0,0
