Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,zec_start_date,price_close,volume_traded
May,2016-05-24T00:00:00.0000000Z,522,9923.794727,2016-05-24T00:00:00.0000000Z,0,0,2016-05-24T00:00:00.0000000Z,4.54663,11830.13101,2016-05-24T00:00:00.0000000Z,0,0
May,2016-05-29T00:00:00.0000000Z,537.122,10093.12763,2016-05-29T00:00:00.0000000Z,0,0,2016-05-29T00:00:00.0000000Z,4.69049,6730.209458,2016-05-29T00:00:00.0000000Z,0,0
June,2016-06-03T00:00:00.0000000Z,578.2,10612.86872,2016-06-03T00:00:00.0000000Z,0,0,2016-06-03T00:00:00.0000000Z,4.7673,5677.20713,2016-06-03T00:00:00.0000000Z,0,0
June,2016-06-08T00:00:00.0000000Z,667.063,10690.41771,2016-06-08T00:00:00.0000000Z,0,0,2016-06-08T00:00:00.0000000Z,5.28101,3203.490022,2016-06-08T00:00:00.0000000Z,0,0
June,2016-06-13T00:00:00.0000000Z,749.67,21743.26294,2016-06-13T00:00:00.0000000Z,0,0,2016-06-13T00:00:00.0000000Z,5.89187,19033.8265,2016-06-13T00:00:00.0000000Z,0,0
June,2016-06-18T00:00:00.0000000Z,601.936,27457.7339,2016-06-18T00:00:00.0000000Z,0,0,2016-06-18T00:00:00.0000000Z,4.07154,16864.04415,2016-06-18T00:00:00.0000000Z,0,0
June,2016-06-23T00:00:00.0000000Z,663.499,15218.53687,2016-06-23T00:00:00.0000000Z,0,0,2016-06-23T00:00:00.0000000Z,4.24816,8073.7514,2016-06-23T00:00:00.0000000Z,0,0
June,2016-06-28T00:00:00.0000000Z,702.31,9541.833767,2016-06-28T00:00:00.0000000Z,0,0,2016-06-28T00:00:00.0000000Z,4.5241,6870.209616,2016-06-28T00:00:00.0000000Z,0,0
July,2016-07-03T00:00:00.0000000Z,640.4,7979.822833,2016-07-03T00:00:00.0000000Z,0,0,2016-07-03T00:00:00.0000000Z,4.00351,7261.318817,2016-07-03T00:00:00.0000000Z,0,0
July,2016-07-08T00:00:00.0000000Z,666,6015.592313,2016-07-08T00:00:00.0000000Z,0,0,2016-07-08T00:00:00.0000000Z,4.2,2362.698882,2016-07-08T00:00:00.0000000Z,0,0
July,2016-07-13T00:00:00.0000000Z,681.86,4577.364684,2016-07-13T00:00:00.0000000Z,0,0,2016-07-13T00:00:00.0000000Z,4.13161,3328.37166,2016-07-13T00:00:00.0000000Z,0,0
July,2016-07-18T00:00:00.0000000Z,651.15,5926.356845,2016-07-18T00:00:00.0000000Z,0,0,2016-07-18T00:00:00.0000000Z,4.09995,4760.433578,2016-07-18T00:00:00.0000000Z,0,0
July,2016-07-23T00:00:00.0000000Z,656.979,5354.802139,2016-07-23T00:00:00.0000000Z,0,0,2016-07-23T00:00:00.0000000Z,3.94306,5352.253268,2016-07-23T00:00:00.0000000Z,0,0
July,2016-07-28T00:00:00.0000000Z,602.551,6263.80907,2016-07-28T00:00:00.0000000Z,0,0,2016-07-28T00:00:00.0000000Z,3.84,2957.458425,2016-07-28T00:00:00.0000000Z,0,0
Aug,2016-08-02T00:00:00.0000000Z,591.758,17285.86122,2016-08-02T00:00:00.0000000Z,0,0,2016-08-02T00:00:00.0000000Z,3.8,10129.84393,2016-08-02T00:00:00.0000000Z,0,0
Aug,2016-08-07T00:00:00.0000000Z,588.01,6793.627393,2016-08-07T00:00:00.0000000Z,0,0,2016-08-07T00:00:00.0000000Z,3.78506,2039.123611,2016-08-07T00:00:00.0000000Z,0,0
Aug,2016-08-12T00:00:00.0000000Z,579.61,4486.563767,2016-08-12T00:00:00.0000000Z,0,0,2016-08-12T00:00:00.0000000Z,3.6399,4758.825675,2016-08-12T00:00:00.0000000Z,0,0
Aug,2016-08-17T00:00:00.0000000Z,581.53,2818.279818,2016-08-17T00:00:00.0000000Z,0,0,2016-08-17T00:00:00.0000000Z,3.61525,834.1363068,2016-08-17T00:00:00.0000000Z,0,0
Aug,2016-08-22T00:00:00.0000000Z,579.36,3791.913561,2016-08-22T00:00:00.0000000Z,0,0,2016-08-22T00:00:00.0000000Z,3.79555,3361.980511,2016-08-22T00:00:00.0000000Z,0,0
Aug,2016-08-27T00:00:00.0000000Z,574.22,3279.714474,2016-08-27T00:00:00.0000000Z,0,0,2016-08-27T00:00:00.0000000Z,3.65158,9139.99924,2016-08-27T00:00:00.0000000Z,0,0
Sept,2016-09-01T00:00:00.0000000Z,609.874,5032.581586,2016-09-01T00:00:00.0000000Z,0,0,2016-09-01T00:00:00.0000000Z,3.92666,1505.340142,2016-09-01T00:00:00.0000000Z,0,0
