,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,doge_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
1,,,,,,,,,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.0020099,0.0023636,144359962.47915483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,2020-02-01T00:00:00.0000000Z,0.0023593,0.0022133,317556965.9463435,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.552755,1.149,292597.50257229,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.032652,0.053794,174479162.23615584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,2020-02-01T00:00:00.0000000Z,0.053762,0.047284,224145472.15905198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,2020-03-01T00:00:00.0000000Z,0.047138,0.030575,370212721.25238407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,2020-04-01T00:00:00.0000000Z,0.0305,0.047481,222127283.183455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,2020-05-01T00:00:00.0000000Z,0.047609,0.074002,457637649.2183909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,2020-06-01T00:00:00.0000000Z,0.073825,0.083837,523315451.0642271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,2020-07-01T00:00:00.0000000Z,0.083352,0.140104,973862572.1613142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,2020-08-01T00:00:00.0000000Z,0.140017,0.122566,534900524.46354276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,2020-09-01T00:00:00.0000000Z,0.122922,0.10136,373312022.3258859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,2020-10-01T00:00:00.0000000Z,0.10147,0.093183,284540965.91878074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,2020-11-01T00:00:00.0000000Z,0.093162,0.172279,803994983.4691486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,0.17228,0.181689,887920150.7424034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.044647,0.060831,108298885.3422729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,2020-02-01T00:00:00.0000000Z,0.060375,0.056963,185409274.18878096,2020-01-01T00:00:00.0000000Z,0.19236,0.2389,441686026.4819232,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,2020-03-01T00:00:00.0000000Z,0.056944,0.040939,189196675.72871825,2020-02-01T00:00:00.0000000Z,0.23902,0.22883,651033294.33518,,,,,,,,,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.9962,0.9983,58398205.55915362,2020-01-01T00:00:00.0000000Z,40.855,115.961,257263.21398098
34,,,,,,,,,,,,,,,,,,,,,2020-04-01T00:00:00.0000000Z,0.040767,0.067277,140420452.9904344,2020-03-01T00:00:00.0000000Z,0.22929,0.17374,871751151.676954,,,,,,,,,,,,,,,,,2020-02-01T00:00:00.0000000Z,0.9983,1.0002,73868730.44786844,2020-02-01T00:00:00.0000000Z,115.514,85.254,101856.82897428
35,,,,,,,,,,,,,,,,,,,,,2020-05-01T00:00:00.0000000Z,0.06762,0.070787,179281499.66611454,2020-04-01T00:00:00.0000000Z,0.17409,0.21178,458191761.7548519,,,,,,,,,,,,,,,,,2020-03-01T00:00:00.0000000Z,1.0002,1.0017,134040793.53953321,2020-03-01T00:00:00.0000000Z,85.328,64.946,161380.67086893
36,,,,,,,,,,,,,,,,,,,,,2020-06-01T00:00:00.0000000Z,0.070155,0.066922,154432228.01500538,2020-05-01T00:00:00.0000000Z,0.21139,0.20239,308141079.82841355,,,,,,,,,,,,,,,,,2020-04-01T00:00:00.0000000Z,1.0018,1.0005,247020402.03846866,2020-04-01T00:00:00.0000000Z,64.978,80.817,88228.89156144
37,,,,,,,,,,,,,,,,,,,,,2020-07-01T00:00:00.0000000Z,0.066593,0.096714,275930742.9867597,2020-06-01T00:00:00.0000000Z,0.2022,0.17538,268615202.30596,,,,,,,,,,,,,,,,,2020-05-01T00:00:00.0000000Z,1.0003,0.9994,209405899.90464747,2020-05-01T00:00:00.0000000Z,81.3,76.331,57169.60405765
38,,,,,,,,,,,,,,,,,,,,,2020-08-01T00:00:00.0000000Z,0.097,0.096914,247333476.02368763,2020-07-01T00:00:00.0000000Z,0.17534,0.26013,448968160.69886494,,,,,,,,,2020-01-01T00:00:00.0000000Z,27.34,66.2,606228.0250881,,,,,2020-06-01T00:00:00.0000000Z,0.9994,0.9998,172482345.50048926,2020-06-01T00:00:00.0000000Z,76.093,68.16,42567.56451656
39,,,,,2020-01-01T00:00:00.0000000Z,128.66,179.68,1754990.18750075,,,,,,,,,,,,,2020-09-01T00:00:00.0000000Z,0.096887,0.0746,138734872.8604381,2020-08-01T00:00:00.0000000Z,0.25991,0.28132,827925001.2870235,,,,,,,,,2020-02-01T00:00:00.0000000Z,66.36,49.0,105278.92404706,,,,,2020-07-01T00:00:00.0000000Z,0.9998,1.0015,189913177.3858356,2020-07-01T00:00:00.0000000Z,67.767,82.629,66764.51436164
40,,,,,2020-02-01T00:00:00.0000000Z,179.68,217.78,2548585.87140224,,,,,,,,,,,,,2020-10-01T00:00:00.0000000Z,0.074846,0.077742,146386096.3995741,2020-09-01T00:00:00.0000000Z,0.2814,0.24184,365107955.91850156,,,,,,,,,2020-03-01T00:00:00.0000000Z,49.32,30.93,200629.12183797,,,,,2020-08-01T00:00:00.0000000Z,1.0014,1.0002,360641868.11869526,2020-08-01T00:00:00.0000000Z,82.725,86.271,162348.7191524
41,,,,,2020-03-01T00:00:00.0000000Z,217.31,133.1,4168217.66418065,,,,,,,,,,,,,2020-11-01T00:00:00.0000000Z,0.077737,0.203011,750043330.3082339,2020-10-01T00:00:00.0000000Z,0.24198,0.23999,299254466.59960395,,,,,,,,,2020-04-01T00:00:00.0000000Z,30.92,44.61,149920.20352499,,,,,2020-09-01T00:00:00.0000000Z,1.0002,1.0,429042187.66609585,2020-09-01T00:00:00.0000000Z,86.041,69.126,60058.27897991
42,,,,,2020-04-01T00:00:00.0000000Z,133.02,206.2,4415679.4657837,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,0.20302,0.127627,591027372.7902532,2020-11-01T00:00:00.0000000Z,0.23975,0.66415,1829435625.3486488,,,,,,,,,2020-05-01T00:00:00.0000000Z,44.81,51.77,65244.31927382,,,,,2020-10-01T00:00:00.0000000Z,0.9999,1.0009,386452936.11639935,2020-10-01T00:00:00.0000000Z,69.14,70.231,65521.67666626
43,,,,,2020-05-01T00:00:00.0000000Z,206.16,231.76,1904909.99774054,,,,,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,0.6647,0.2195,3200681424.782424,,,,,,,,,2020-06-01T00:00:00.0000000Z,51.99,51.51,66990.5835364,,,,,2020-11-01T00:00:00.0000000Z,1.0009,1.0005,723075783.2951636,2020-11-01T00:00:00.0000000Z,70.395,113.197,199658.4438844
44,,,,,2020-06-01T00:00:00.0000000Z,231.52,225.68,1478852.51456425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-01T00:00:00.0000000Z,51.55,74.36,87193.5408318,,,,,2020-12-01T00:00:00.0000000Z,1.0007,1.001,1368380784.7991035,2020-12-01T00:00:00.0000000Z,112.833,99.531,193976.03898301
45,,,,,2020-07-01T00:00:00.0000000Z,225.61,347.0,1755724.52077426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-01T00:00:00.0000000Z,75.24,78.72,197436.3640312,,,,,,,,,,,,
46,,,,,2020-08-01T00:00:00.0000000Z,346.9,433.98,2404929.37475205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-01T00:00:00.0000000Z,78.51,63.94,127710.64713673,,,,,,,,,,,,
47,,,,,2020-09-01T00:00:00.0000000Z,434.0,359.69,2639400.98972911,2020-01-01T00:00:00.0000000Z,41.15,67.76,967747.50644194,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-01T00:00:00.0000000Z,64.3,58.12,132922.65798941,,,,,,,,,,,,
48,2020-01-01T00:00:00.0000000Z,7168.3,9339.3,182284.05272486,2020-10-01T00:00:00.0000000Z,359.7,386.81,1371747.91258072,2020-02-01T00:00:00.0000000Z,67.93,58.13,948151.78795179,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-01T00:00:00.0000000Z,58.0,78.96,322220.49003952,,,,,,,,,,,,
49,2020-02-01T00:00:00.0000000Z,9337.1,8529.1,129239.47465701,2020-11-01T00:00:00.0000000Z,386.62,616.65,2777676.584464,2020-03-01T00:00:00.0000000Z,58.02,39.25,1252705.23074269,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,78.96,63.89,205582.58806053,,,,,,,,,,,,
50,2020-03-01T00:00:00.0000000Z,8526.1,6422.1,374848.42019906,2020-12-01T00:00:00.0000000Z,616.84,737.45,2574697.61691307,2020-04-01T00:00:00.0000000Z,39.17,46.37,1218909.61399348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2020-04-01T00:00:00.0000000Z,6422.2,8629.6,493231.23332988,,,,,2020-05-01T00:00:00.0000000Z,46.38,45.59,547814.62921199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2020-05-01T00:00:00.0000000Z,8628.3,9447.4,273682.8021536,,,,,2020-06-01T00:00:00.0000000Z,45.59,41.25,441106.38340243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2020-06-01T00:00:00.0000000Z,9447.9,9133.9,159149.88592331,,,,,2020-07-01T00:00:00.0000000Z,41.18,58.29,766313.48477421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2020-07-01T00:00:00.0000000Z,9135.0,11356.2,119522.55839924,,,,,2020-08-01T00:00:00.0000000Z,58.26,60.97,1545919.32523077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2020-08-01T00:00:00.0000000Z,11356.1,11656.9,132919.97798464,,,,,2020-09-01T00:00:00.0000000Z,61.05,46.24,863689.90321484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2020-09-01T00:00:00.0000000Z,11657.2,10774.9,117605.76079076,,,,,2020-10-01T00:00:00.0000000Z,46.31,55.82,912902.88168072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2020-10-01T00:00:00.0000000Z,10774.9,13809.1,126881.72739851,,,,,2020-11-01T00:00:00.0000000Z,55.76,87.67,2395191.04593447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2020-11-01T00:00:00.0000000Z,13799.0,19708.1,218391.88946892,,,,,2020-12-01T00:00:00.0000000Z,87.83,124.55,3369865.51037541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2020-12-01T00:00:00.0000000Z,19706.5,28959.2,220494.00102474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
