,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,0,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-01T00:00:00.0000000Z,0.758226,0.705487,595123.36592361,2019-10-01T00:00:00.0000000Z,0.7204,0.7775,164153.01798544,,,,,2019-10-01T00:00:00.0000000Z,0.00188,0.00199,37382153.90389286,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.711102,0.554753,236685.99081599,2019-11-01T00:00:00.0000000Z,0.7849,0.6023,227670.50086418,,,,,2019-11-01T00:00:00.0000000Z,0.002,0.00161,82564045.14813721,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.5798,1.0105,2027183.85683547,,,,,2019-12-01T00:00:00.0000000Z,0.0016,0.0013,53897657.77504342,,,,,,,,
4,,,,,,,,,,,,,2019-01-01T00:00:00.0000000Z,0.040388,0.038247,124152466.80825666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,2019-02-01T00:00:00.0000000Z,0.03807,0.042765,93318811.3441736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,2019-03-01T00:00:00.0000000Z,0.042789,0.069574,184693811.4042636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,2019-04-01T00:00:00.0000000Z,0.069363,0.06931,236411442.8201005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,2019-05-01T00:00:00.0000000Z,0.069323,0.089212,340109459.00401765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,2019-06-01T00:00:00.0000000Z,0.089,0.082022,419634787.03405076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,2019-07-01T00:00:00.0000000Z,0.081446,0.060128,247609298.58302575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,2019-08-01T00:00:00.0000000Z,0.060128,0.044879,261738347.1501845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,2019-09-01T00:00:00.0000000Z,0.0448,0.038933,295518322.4975679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,2019-10-01T00:00:00.0000000Z,0.038754,0.04138,101712702.06989665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,2019-11-01T00:00:00.0000000Z,0.041096,0.040458,116737700.50114118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.040289,0.032672,93542731.60426223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,2019-01-01T00:00:00.0000000Z,0.109636,0.080864,96426718.7429554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,2019-10-01T00:00:00.0000000Z,0.038754,0.04138,101712702.06989665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,2019-11-01T00:00:00.0000000Z,0.041096,0.040458,116737700.50114118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.040289,0.032672,93542731.60426223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,2019-01-01T00:00:00.0000000Z,0.109636,0.080864,96426718.7429554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,2019-02-01T00:00:00.0000000Z,0.081,0.083897,120494324.63628447,2019-01-01T00:00:00.0000000Z,0.34718,0.30649,240902654.9015217,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,2019-03-01T00:00:00.0000000Z,0.084164,0.107759,153275996.99903348,2019-02-01T00:00:00.0000000Z,0.30779,0.31267,292731267.62388957,,,,,,,,,,,,,,,,,2019-01-01T00:00:00.0000000Z,0.9991,0.994,143206590.77011344,2019-01-01T00:00:00.0000000Z,77.635,66.55,39131.47556139
22,,,,,,,,,,,,,,,,,,2019-04-01T00:00:00.0000000Z,0.107911,0.099763,148522318.63853544,2019-03-01T00:00:00.0000000Z,0.31247,0.30811,198608295.79982108,,,,,,,,,,,,,,,,,2019-02-01T00:00:00.0000000Z,0.9933,0.995,69437862.11852346,2019-02-01T00:00:00.0000000Z,66.63,80.96,41917.53092329
23,,,,,,,,,,,,,,,,,,2019-05-01T00:00:00.0000000Z,0.099763,0.133041,273352426.8823143,2019-04-01T00:00:00.0000000Z,0.30808,0.30511,363524905.6818088,,,,,,,,,,,,,,,,,2019-03-01T00:00:00.0000000Z,0.995,0.9975,51759979.00089705,2019-03-01T00:00:00.0000000Z,82.155,110.2,47508.95102716
24,,,,,,,,,,,,,,,,,,2019-06-01T00:00:00.0000000Z,0.133565,0.103835,225564898.4911531,2019-05-01T00:00:00.0000000Z,0.30554,0.43844,763775619.902339,,,,,,,,,,,,,,,,,2019-04-01T00:00:00.0000000Z,0.9972,0.9896,211549058.54858238,2019-04-01T00:00:00.0000000Z,110.2,110.1,83035.45054874
25,,,,,,,,,,,,,,,,,,2019-07-01T00:00:00.0000000Z,0.104,0.08374,121266816.09813052,2019-06-01T00:00:00.0000000Z,0.4375,0.39216,677425388.2627413,,,,,,,,,,,,,,,,,2019-05-01T00:00:00.0000000Z,0.9898,1.0005,161269652.30556965,2019-05-01T00:00:00.0000000Z,110.1,166.0,109560.34948235
26,,,,,,,,,,,,,,,,,,2019-08-01T00:00:00.0000000Z,0.083779,0.062099,69616722.78478447,2019-07-01T00:00:00.0000000Z,0.39224,0.31997,445735427.0174579,,,,,,,,,2019-01-01T00:00:00.0000000Z,55.02,48.67,44283.79340214,,,,,2019-06-01T00:00:00.0000000Z,1.0002,0.99,129834534.34928238,2019-06-01T00:00:00.0000000Z,165.999,155.767,68210.05314946
27,,,,,2019-01-01T00:00:00.0000000Z,130.77,105.69,3776588.00221007,,,,,,,,,,2019-09-01T00:00:00.0000000Z,0.062229,0.06193,153089693.01131386,2019-08-01T00:00:00.0000000Z,0.31981,0.25799,307942855.6057263,,,,,,,,,2019-02-01T00:00:00.0000000Z,48.28,50.85,51594.07556135,,,,,2019-07-01T00:00:00.0000000Z,0.99,1.0003,86000614.04913038,2019-07-01T00:00:00.0000000Z,155.26,108.404,49482.64467291
28,,,,,2019-02-01T00:00:00.0000000Z,105.74,134.52,3774851.41357264,,,,,,,,,,2019-10-01T00:00:00.0000000Z,0.06193,0.06488,90780815.16415073,2019-09-01T00:00:00.0000000Z,0.25785,0.25674,494293873.2314966,,,,,,,,,2019-03-01T00:00:00.0000000Z,50.85,58.18,56659.60633483,,,,,2019-08-01T00:00:00.0000000Z,1.0004,1.0002,68562743.96679239,2019-08-01T00:00:00.0000000Z,107.381,80.0,106272.6074712
29,,,,,2019-03-01T00:00:00.0000000Z,134.59,141.29,2174685.68955418,,,,,,,,,,2019-11-01T00:00:00.0000000Z,0.06493,0.057313,210554989.93372157,2019-10-01T00:00:00.0000000Z,0.25705,0.2946,451157183.5513551,,,,,,,,,2019-04-01T00:00:00.0000000Z,58.7,60.03,85742.74261359,,,,,2019-09-01T00:00:00.0000000Z,1.0003,1.0022,58055152.06325441,2019-09-01T00:00:00.0000000Z,80.034,70.59,104882.37534622
30,,,,,2019-04-01T00:00:00.0000000Z,141.11,160.36,2906727.10559603,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.057063,0.0447,117109010.60618517,2019-11-01T00:00:00.0000000Z,0.2946,0.22594,392257199.09729457,,,,,,,,,2019-05-01T00:00:00.0000000Z,59.99,90.56,126844.83738056,,,,,2019-10-01T00:00:00.0000000Z,1.002,1.0007,57400468.56688409,2019-10-01T00:00:00.0000000Z,71.0,71.577,64322.38060879
31,,,,,2019-05-01T00:00:00.0000000Z,160.31,267.56,4943665.87218123,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.22591,0.1926,353168111.3896765,,,,,,,,,2019-06-01T00:00:00.0000000Z,90.32,102.11,153565.51120004,,,,,2019-11-01T00:00:00.0000000Z,1.0011,1.001,61860842.89514306,2019-11-01T00:00:00.0000000Z,71.752,55.049,52776.04385422
32,,,,,2019-06-01T00:00:00.0000000Z,267.48,289.5,2796162.79848226,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-01T00:00:00.0000000Z,102.1,67.82,87978.33364978,,,,,2019-12-01T00:00:00.0000000Z,1.001,0.9963,63003189.42795221,2019-12-01T00:00:00.0000000Z,55.049,41.027,81160.08123278
33,,,,,2019-07-01T00:00:00.0000000Z,289.88,218.68,2200305.68751926,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-01T00:00:00.0000000Z,68.1,44.87,68618.95414143,,,,,,,,,,,,
34,,,,,2019-08-01T00:00:00.0000000Z,218.55,171.92,1218410.41964572,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-01T00:00:00.0000000Z,44.89,38.84,79346.39386976,,,,,,,,,,,,
35,,,,,2019-09-01T00:00:00.0000000Z,171.92,181.53,1690896.63755441,2019-01-01T00:00:00.0000000Z,29.88,31.18,583744.19149282,,,,,,,,,,,,,,,,,,,,,,2019-10-01T00:00:00.0000000Z,38.67,37.42,75615.70288874,,,,,,,,,,,,
36,2019-01-01T00:00:00.0000000Z,3690.9,3409.6,176513.30439062,2019-10-01T00:00:00.0000000Z,181.16,182.45,1430519.37244437,2019-02-01T00:00:00.0000000Z,31.18,45.35,946741.01462982,,,,,,,,,,,,,,,,,,,,,,2019-11-01T00:00:00.0000000Z,37.52,29.02,79592.15967042,,,,,,,,,,,,
37,2019-02-01T00:00:00.0000000Z,3409.6,3793.7,144024.69998565,2019-11-01T00:00:00.0000000Z,182.44,151.74,964307.33793599,2019-03-01T00:00:00.0000000Z,45.37,60.29,546142.52436881,,,,,,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,28.96,27.41,99402.20446376,,,,,,,,,,,,
38,2019-03-01T00:00:00.0000000Z,3793.6,4095.2,101402.46630555,2019-12-01T00:00:00.0000000Z,151.61,128.59,940901.67825476,2019-04-01T00:00:00.0000000Z,60.08,73.51,866015.38626333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2019-04-01T00:00:00.0000000Z,4095.1,5272.2,203028.9655285,,,,,2019-05-01T00:00:00.0000000Z,73.55,114.64,1289172.24053015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2019-05-01T00:00:00.0000000Z,5272.2,8552.9,322176.75365249,,,,,2019-06-01T00:00:00.0000000Z,114.56,122.0,1463611.06672926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2019-06-01T00:00:00.0000000Z,8552.9,10752.3,362948.57803049,,,,,2019-07-01T00:00:00.0000000Z,122.34,98.85,1711143.64352377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2019-07-01T00:00:00.0000000Z,10749.4,10090.1,358966.3673057,,,,,2019-08-01T00:00:00.0000000Z,98.85,64.29,981525.45635426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2019-08-01T00:00:00.0000000Z,10090.3,9604.3,250229.94938362,,,,,2019-09-01T00:00:00.0000000Z,64.53,56.12,725184.07134956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2019-09-01T00:00:00.0000000Z,9602.1,8310.0,195850.26669039,,,,,2019-10-01T00:00:00.0000000Z,56.07,58.41,600034.13936003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2019-10-01T00:00:00.0000000Z,8310.0,9146.7,214846.34001109,,,,,2019-11-01T00:00:00.0000000Z,58.35,47.23,596940.60922675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2019-11-01T00:00:00.0000000Z,9151.9,7558.9,180794.90727456,,,,,2019-12-01T00:00:00.0000000Z,47.0,41.15,417621.59218973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2019-12-01T00:00:00.0000000Z,7558.9,7168.3,144502.54028391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doge_start_date,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_close,,,,,,,,,,,,,,,,,0.00197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_high,,,,,,,,,,,,,,,,,0.002499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_low,,,,,,,,,,,,,,,,,0.0019501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_open,,,,,,,,,,,,,,,,,0.0020521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades_count,,,,,,,,,,,,,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume_traded,,,,,,,,,,,,,,,,,29527718.41036031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
