,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
10,,,,,2017-08-01T00:00:00.0000000Z,201.7777,388.003,2348182.50404785,,,,,,,,,,,,,,,,,2017-09-01T00:00:00.0000000Z,292.959,277.0,96832.63923931,,,,
11,,,,,2017-09-01T00:00:00.0000000Z,388.649,302.2,2726662.16216501,2017-01-01T00:00:00.0000000Z,4.37999,4.12475,79997.19102745,,,,,,,,,,,,,2017-10-01T00:00:00.0000000Z,278.38,234.0,67449.0778272,,,,
12,2017-01-01T00:00:00.0000000Z,968.75,969.739,86944.74851191,2017-10-01T00:00:00.0000000Z,302.19,304.12,598233.57449915,2017-02-01T00:00:00.0000000Z,4.11786,3.77,70749.80383607,,,,,,,,,,,,,2017-11-01T00:00:00.0000000Z,234.0,301.46,98410.43756108,,,,
13,2017-02-01T00:00:00.0000000Z,968.166,1180.0,61053.17522179,2017-11-01T00:00:00.0000000Z,304.11,439.25,1698386.04787808,2017-03-01T00:00:00.0000000Z,3.77,7.07063,370887.49690087,,,,,,,,,,,,,2017-12-01T00:00:00.0000000Z,300.71,478.67,115147.83256808,,,,
14,2017-03-01T00:00:00.0000000Z,1181.998,1079.78,114427.90559524,2017-12-01T00:00:00.0000000Z,438.56,745.98,979584.10284372,2017-04-01T00:00:00.0000000Z,7.07042,15.65775,1107305.72130465,,,,,,,,,,,,,,,,,,,,
15,2017-04-01T00:00:00.0000000Z,1080.03,1350.717,65383.51623995,,,,,2017-05-01T00:00:00.0000000Z,15.66061,25.78,1706270.4882771,,,,,,,,,,,,,,,,,,,,
16,2017-05-01T00:00:00.0000000Z,1344.601,2291.301,221472.6392975,,,,,2017-06-01T00:00:00.0000000Z,25.79808,39.04784,1427534.15944613,,,,,,,,,,,,,,,,,,,,
17,2017-06-01T00:00:00.0000000Z,2291.301,2445.0,214516.22790491,,,,,2017-07-01T00:00:00.0000000Z,39.04785,42.34721,2015750.93445261,,,,,,,,,,,,,,,,,,,,
18,2017-07-01T00:00:00.0000000Z,2443.36,2876.133,260245.31788653,,,,,2017-08-01T00:00:00.0000000Z,42.456,73.3708,1220401.98793173,,,,,,,,,,,,,,,,,,,,
19,2017-08-01T00:00:00.0000000Z,2876.133,4737.27,228405.86180082,,,,,2017-09-01T00:00:00.0000000Z,73.3708,55.65,2179055.17684485,,,,,,,,,,,,,,,,,,,,
20,2017-09-01T00:00:00.0000000Z,4737.02,4344.0,205468.18517438,,,,,2017-10-01T00:00:00.0000000Z,55.56,55.47,799077.84726983,,,,,,,,,,,,,,,,,,,,
21,2017-10-01T00:00:00.0000000Z,4343.9,6430.5,91987.22663715,,,,,2017-11-01T00:00:00.0000000Z,55.44,87.59,1159555.24358362,,,,,,,,,,,,,,,,,,,,
22,2017-11-01T00:00:00.0000000Z,6442.3,10088.5,159007.77124597,,,,,2017-12-01T00:00:00.0000000Z,87.58,230.3,1108775.68695991,,,,,,,,,,,,,,,,,,,,
23,2017-12-01T00:00:00.0000000Z,10087.8,13990.0,129092.02069469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
