,BTC_start_date,price_open,price_close,ETH_start_date,price_open,price_close,LTC_start_date,price_open,price_close,ZEC_start_date,price_open,price_close,USDT_start_date,price_open,price_close,XLM_start_date,price_open,price_close,XRP_start_date,price_open,price_close,DASH_start_date,price_open,price_close,ADA_start_date,price_open,price_close,SOL_start_date,price_open,price_close,DOGE_start_date,price_open,price_close,LISK_start_date,price_open,price_close,WAVES_start_date,price_open,price_close,LINK_start_date,price_open,price_close
10,2021-01-30T00:00:00.0000000Z,34272.05,33546.39,2021-01-30T00:00:00.0000000Z,1380.04,1374.6,2021-01-30T00:00:00.0000000Z,134.88,132.04,2021-01-30T00:00:00.0000000Z,85.47,88.57,2021-01-30T00:00:00.0000000Z,1.0004,1.0003,2021-01-30T00:00:00.0000000Z,0.293479,0.323012,2021-01-30T00:00:00.0000000Z,0.28329,0.37115,2021-01-30T00:00:00.0000000Z,104.641,103.442,2021-01-30T00:00:00.0000000Z,0.347974,0.408881,2021-01-30T00:00:00.0000000Z,3.8499,4.6196,2021-01-30T00:00:00.0000000Z,0.0457385,0.034816,2021-01-30T00:00:00.0000000Z,1.307935,1.390789,2021-01-30T00:00:00.0000000Z,6.494,7.0034,2021-01-30T00:00:00.0000000Z,22.75562,22.9
11,2021-02-02T00:00:00.0000000Z,33544.69,36993.27,2021-02-02T00:00:00.0000000Z,1374.55,1597.55,2021-02-02T00:00:00.0000000Z,131.95,145.27,2021-02-02T00:00:00.0000000Z,88.61,90.19,2021-02-02T00:00:00.0000000Z,1.0003,1.0011,2021-02-02T00:00:00.0000000Z,0.323396,0.3265,2021-02-02T00:00:00.0000000Z,0.37118,0.44619,2021-02-02T00:00:00.0000000Z,103.5,111.039,2021-02-02T00:00:00.0000000Z,0.409445,0.440175,2021-02-02T00:00:00.0000000Z,4.6269,6.4401,2021-02-02T00:00:00.0000000Z,0.0347856,0.0530146,2021-02-02T00:00:00.0000000Z,1.390147,1.433283,2021-02-02T00:00:00.0000000Z,7.0228,7.2526,2021-02-02T00:00:00.0000000Z,22.9,24.53543
12,2021-02-05T00:00:00.0000000Z,36976.68,38874.13,2021-02-05T00:00:00.0000000Z,1597.34,1615.32,2021-02-05T00:00:00.0000000Z,145.25,150.95,2021-02-05T00:00:00.0000000Z,90.53,92.56,2021-02-05T00:00:00.0000000Z,1.0012,1.0017,2021-02-05T00:00:00.0000000Z,0.3263,0.38634,2021-02-05T00:00:00.0000000Z,0.44611,0.41967,2021-02-05T00:00:00.0000000Z,111.234,118.431,2021-02-05T00:00:00.0000000Z,0.440186,0.66356,2021-02-05T00:00:00.0000000Z,6.44,6.6874,2021-02-05T00:00:00.0000000Z,0.0530146,0.078,2021-02-05T00:00:00.0000000Z,1.456592,1.559203,2021-02-05T00:00:00.0000000Z,7.291,8.0696,2021-02-05T00:00:00.0000000Z,24.55642,24.77212
13,2021-02-08T00:00:00.0000000Z,38874.13,44908.73,2021-02-08T00:00:00.0000000Z,1615.51,1742.93,2021-02-08T00:00:00.0000000Z,151.03,181.76,2021-02-08T00:00:00.0000000Z,92.53,116.5,2021-02-08T00:00:00.0000000Z,1.0018,1.0008,2021-02-08T00:00:00.0000000Z,0.386221,0.415074,2021-02-08T00:00:00.0000000Z,0.41926,0.50568,2021-02-08T00:00:00.0000000Z,118.395,139.914,2021-02-08T00:00:00.0000000Z,0.66356,0.941623,2021-02-08T00:00:00.0000000Z,6.6956,9.0707,2021-02-08T00:00:00.0000000Z,0.0780181,0.0726688,2021-02-08T00:00:00.0000000Z,1.579143,2.301369,2021-02-08T00:00:00.0000000Z,8.0978,9.6788,2021-02-08T00:00:00.0000000Z,24.77767,26.85209
14,2021-02-11T00:00:00.0000000Z,44908.72,47216.11,2021-02-11T00:00:00.0000000Z,1742.51,1818.01,2021-02-11T00:00:00.0000000Z,181.73,226.62,2021-02-11T00:00:00.0000000Z,116.7,176.27,2021-02-11T00:00:00.0000000Z,1.0008,1.0013,2021-02-11T00:00:00.0000000Z,0.415194,0.565684,2021-02-11T00:00:00.0000000Z,0.50492,0.63446,2021-02-11T00:00:00.0000000Z,140.078,267.536,2021-02-11T00:00:00.0000000Z,0.941622,0.9137,2021-02-11T00:00:00.0000000Z,9.0861,8.7743,2021-02-11T00:00:00.0000000Z,0.0726473,0.0663213,2021-02-11T00:00:00.0000000Z,2.324033,3.35,2021-02-11T00:00:00.0000000Z,9.692,11.2445,2021-02-11T00:00:00.0000000Z,26.89639,34.25
15,2021-02-14T00:00:00.0000000Z,47232.84,49163.4,2021-02-14T00:00:00.0000000Z,1817.85,1781.97,2021-02-14T00:00:00.0000000Z,226.47,210.17,2021-02-14T00:00:00.0000000Z,177.36,156.02,2021-02-14T00:00:00.0000000Z,1.0013,1.0002,2021-02-14T00:00:00.0000000Z,0.5663,0.485485,2021-02-14T00:00:00.0000000Z,0.63542,0.51985,2021-02-14T00:00:00.0000000Z,268.906,249.453,2021-02-14T00:00:00.0000000Z,0.913902,0.871539,2021-02-14T00:00:00.0000000Z,8.7938,8.2766,2021-02-14T00:00:00.0000000Z,0.0663213,0.0534781,2021-02-14T00:00:00.0000000Z,3.390218,3.22786,2021-02-14T00:00:00.0000000Z,11.2993,11.0529,2021-02-14T00:00:00.0000000Z,34.3,31.98755
16,2021-02-17T00:00:00.0000000Z,49163.4,55940.77,2021-02-17T00:00:00.0000000Z,1782.14,1957.68,2021-02-17T00:00:00.0000000Z,210.17,236.69,2021-02-17T00:00:00.0000000Z,155.72,180.75,2021-02-17T00:00:00.0000000Z,1.0002,1.0007,2021-02-17T00:00:00.0000000Z,0.485393,0.513111,2021-02-17T00:00:00.0000000Z,0.52017,0.56451,2021-02-17T00:00:00.0000000Z,249.781,323.667,2021-02-17T00:00:00.0000000Z,0.871998,0.926,2021-02-17T00:00:00.0000000Z,8.3238,11.5369,2021-02-17T00:00:00.0000000Z,0.0534219,0.0550204,2021-02-17T00:00:00.0000000Z,3.173407,3.849368,2021-02-17T00:00:00.0000000Z,11.0503,12.555,2021-02-17T00:00:00.0000000Z,31.98755,34.72048
17,2021-02-20T00:00:00.0000000Z,55974.02,54121.6,2021-02-20T00:00:00.0000000Z,1957.9,1778.66,2021-02-20T00:00:00.0000000Z,236.68,208.23,2021-02-20T00:00:00.0000000Z,181.05,144.32,2021-02-20T00:00:00.0000000Z,1.0006,1.0007,2021-02-20T00:00:00.0000000Z,0.5138,0.463336,2021-02-20T00:00:00.0000000Z,0.56518,0.56619,2021-02-20T00:00:00.0000000Z,324.0,272.504,2021-02-20T00:00:00.0000000Z,0.926,1.098356,2021-02-20T00:00:00.0000000Z,11.5369,14.4975,2021-02-20T00:00:00.0000000Z,0.0551786,0.0536837,2021-02-20T00:00:00.0000000Z,3.864204,3.33899,2021-02-20T00:00:00.0000000Z,12.5944,10.65,2021-02-20T00:00:00.0000000Z,34.72392,31.52699
18,2021-02-23T00:00:00.0000000Z,54126.6,47069.0,2021-02-23T00:00:00.0000000Z,1778.33,1482.62,2021-02-23T00:00:00.0000000Z,208.21,179.47,2021-02-23T00:00:00.0000000Z,144.89,121.06,2021-02-23T00:00:00.0000000Z,1.0008,1.0,2021-02-23T00:00:00.0000000Z,0.463703,0.379628,2021-02-23T00:00:00.0000000Z,0.56657,0.43564,2021-02-23T00:00:00.0000000Z,272.657,217.716,2021-02-23T00:00:00.0000000Z,1.0998,1.072966,2021-02-23T00:00:00.0000000Z,14.4975,13.7978,2021-02-23T00:00:00.0000000Z,0.0536892,0.0499196,2021-02-23T00:00:00.0000000Z,3.383458,3.019464,2021-02-23T00:00:00.0000000Z,10.6866,9.6133,2021-02-23T00:00:00.0000000Z,31.513,24.64701
19,2021-02-26T00:00:00.0000000Z,47054.93,45213.99,2021-02-26T00:00:00.0000000Z,1482.05,1422.02,2021-02-26T00:00:00.0000000Z,179.4,165.72,2021-02-26T00:00:00.0000000Z,121.19,111.34,2021-02-26T00:00:00.0000000Z,1.0001,1.0016,2021-02-26T00:00:00.0000000Z,0.379075,0.406,2021-02-26T00:00:00.0000000Z,0.43489,0.41661,2021-02-26T00:00:00.0000000Z,217.761,197.113,2021-02-26T00:00:00.0000000Z,1.075448,1.315604,2021-02-26T00:00:00.0000000Z,13.7978,13.3998,2021-02-26T00:00:00.0000000Z,0.050022,0.0482549,2021-02-26T00:00:00.0000000Z,3.032141,2.912001,2021-02-26T00:00:00.0000000Z,9.5661,8.8705,2021-02-26T00:00:00.0000000Z,24.71909,24.751
