Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded
June,2019-06-13T00:00:00.0000000Z,9335,50134.89714,2019-06-13T00:00:00.0000000Z,273.74,363589.6159,2019-06-13T00:00:00.0000000Z,134.04,184843.8135,2019-06-13T00:00:00.0000000Z,0.093448,49131482.19,2019-06-13T00:00:00.0000000Z,0,0,2019-06-13T00:00:00.0000000Z,0.13086,32804539.16,2019-06-13T00:00:00.0000000Z,0.44774,81713391.52,2019-06-13T00:00:00.0000000Z,0,0,2019-06-13T00:00:00.0000000Z,0,0,2019-06-13T00:00:00.0000000Z,0.44774,81713391.52,2019-06-13T00:00:00.0000000Z,0,0,2019-06-13T00:00:00.0000000Z,1.0028,23956323.34,2019-06-13T00:00:00.0000000Z,158.71,9439.579412,2019-06-13T00:00:00.0000000Z,0,0
June,2019-06-18T00:00:00.0000000Z,10663.8,65454.7297,2019-06-18T00:00:00.0000000Z,308.54,449299.1562,2019-06-18T00:00:00.0000000Z,141.2,193848.5939,2019-06-18T00:00:00.0000000Z,0.093867,107571058.7,2019-06-18T00:00:00.0000000Z,0,0,2019-06-18T00:00:00.0000000Z,0.128412,46596399.27,2019-06-18T00:00:00.0000000Z,0.47403,122796320.9,2019-06-18T00:00:00.0000000Z,0,0,2019-06-18T00:00:00.0000000Z,0,0,2019-06-18T00:00:00.0000000Z,0.47403,122796320.9,2019-06-18T00:00:00.0000000Z,0,0,2019-06-18T00:00:00.0000000Z,0.995,19987252.91,2019-06-18T00:00:00.0000000Z,176.034,11576.53537,2019-06-18T00:00:00.0000000Z,0,0
June,2019-06-23T00:00:00.0000000Z,11148,94030.9649,2019-06-23T00:00:00.0000000Z,293.68,681149.8478,2019-06-23T00:00:00.0000000Z,114.18,333899.1433,2019-06-23T00:00:00.0000000Z,0.084912,103438559.7,2019-06-23T00:00:00.0000000Z,0,0,2019-06-23T00:00:00.0000000Z,0.107574,74266753.38,2019-06-23T00:00:00.0000000Z,0.40413,175834844,2019-06-23T00:00:00.0000000Z,0,0,2019-06-23T00:00:00.0000000Z,0,0,2019-06-23T00:00:00.0000000Z,0.40413,175834844,2019-06-23T00:00:00.0000000Z,0,0,2019-06-23T00:00:00.0000000Z,0.9852,22125473.66,2019-06-23T00:00:00.0000000Z,155.099,14646.94282,2019-06-23T00:00:00.0000000Z,0,0
June,2019-06-28T00:00:00.0000000Z,10837.3,85464.05367,2019-06-28T00:00:00.0000000Z,291.24,491456.7252,2019-06-28T00:00:00.0000000Z,118.55,352550.7383,2019-06-28T00:00:00.0000000Z,0.080532,65497682.73,2019-06-28T00:00:00.0000000Z,0,0,2019-06-28T00:00:00.0000000Z,0.102969,25714127.47,2019-06-28T00:00:00.0000000Z,0.39776,98052663.53,2019-06-28T00:00:00.0000000Z,0,0,2019-06-28T00:00:00.0000000Z,0,0,2019-06-28T00:00:00.0000000Z,0.39776,98052663.53,2019-06-28T00:00:00.0000000Z,0,0,2019-06-28T00:00:00.0000000Z,0.9993,16829154.21,2019-06-28T00:00:00.0000000Z,152.023,8383.933803,2019-06-28T00:00:00.0000000Z,0,0
July,2019-07-03T00:00:00.0000000Z,11480.7,59128.83221,2019-07-03T00:00:00.0000000Z,306.47,206495.7724,2019-07-03T00:00:00.0000000Z,120.29,157813.2268,2019-07-03T00:00:00.0000000Z,0.080156,30434742.57,2019-07-03T00:00:00.0000000Z,0,0,2019-07-03T00:00:00.0000000Z,0.105938,18742252.66,2019-07-03T00:00:00.0000000Z,0.39899,67523044.5,2019-07-03T00:00:00.0000000Z,0,0,2019-07-03T00:00:00.0000000Z,0,0,2019-07-03T00:00:00.0000000Z,0.39899,67523044.5,2019-07-03T00:00:00.0000000Z,0,0,2019-07-03T00:00:00.0000000Z,1.0049,18701167.48,2019-07-03T00:00:00.0000000Z,157.999,4996.419841,2019-07-03T00:00:00.0000000Z,0,0
July,2019-07-08T00:00:00.0000000Z,11798.1,65051.27042,2019-07-08T00:00:00.0000000Z,275.48,339526.9588,2019-07-08T00:00:00.0000000Z,105.09,320776.773,2019-07-08T00:00:00.0000000Z,0.069532,60409557,2019-07-08T00:00:00.0000000Z,0,0,2019-07-08T00:00:00.0000000Z,0.097907,36755553.74,2019-07-08T00:00:00.0000000Z,0.3448,96797329.71,2019-07-08T00:00:00.0000000Z,0,0,2019-07-08T00:00:00.0000000Z,0,0,2019-07-08T00:00:00.0000000Z,0.3448,96797329.71,2019-07-08T00:00:00.0000000Z,0,0,2019-07-08T00:00:00.0000000Z,1.0036,13503961.31,2019-07-08T00:00:00.0000000Z,142.962,6381.756868,2019-07-08T00:00:00.0000000Z,0,0
July,2019-07-13T00:00:00.0000000Z,9703.9,70227.43067,2019-07-13T00:00:00.0000000Z,211.5,643784.9816,2019-07-13T00:00:00.0000000Z,90.34,364057.5941,2019-07-13T00:00:00.0000000Z,0.055107,46485732.3,2019-07-13T00:00:00.0000000Z,0,0,2019-07-13T00:00:00.0000000Z,0.0804,21150113.49,2019-07-13T00:00:00.0000000Z,0.31029,83577556.89,2019-07-13T00:00:00.0000000Z,0,0,2019-07-13T00:00:00.0000000Z,0,0,2019-07-13T00:00:00.0000000Z,0.31029,83577556.89,2019-07-13T00:00:00.0000000Z,0,0,2019-07-13T00:00:00.0000000Z,1.0029,15052877.61,2019-07-13T00:00:00.0000000Z,102.381,13402.38762,2019-07-13T00:00:00.0000000Z,0,0
July,2019-07-18T00:00:00.0000000Z,10323.9,54057.09066,2019-07-18T00:00:00.0000000Z,217.27,345987.6906,2019-07-18T00:00:00.0000000Z,95.22,329190.8604,2019-07-18T00:00:00.0000000Z,0.05938,26768800.26,2019-07-18T00:00:00.0000000Z,0,0,2019-07-18T00:00:00.0000000Z,0.088329,13730819.33,2019-07-18T00:00:00.0000000Z,0.32086,70210906.66,2019-07-18T00:00:00.0000000Z,0,0,2019-07-18T00:00:00.0000000Z,0,0,2019-07-18T00:00:00.0000000Z,0.32086,70210906.66,2019-07-18T00:00:00.0000000Z,0,0,2019-07-18T00:00:00.0000000Z,0.9985,12886991.88,2019-07-18T00:00:00.0000000Z,114.117,5571.903352,2019-07-18T00:00:00.0000000Z,0,0
July,2019-07-23T00:00:00.0000000Z,9471.8,45772.64761,2019-07-23T00:00:00.0000000Z,207.11,300865.1946,2019-07-23T00:00:00.0000000Z,88.72,256431.1159,2019-07-23T00:00:00.0000000Z,0.05978,28609851.92,2019-07-23T00:00:00.0000000Z,0,0,2019-07-23T00:00:00.0000000Z,0.084281,9827218.377,2019-07-23T00:00:00.0000000Z,0.30967,54468690.59,2019-07-23T00:00:00.0000000Z,0,0,2019-07-23T00:00:00.0000000Z,0,0,2019-07-23T00:00:00.0000000Z,0.30967,54468690.59,2019-07-23T00:00:00.0000000Z,0,0,2019-07-23T00:00:00.0000000Z,0.9989,11949657.54,2019-07-23T00:00:00.0000000Z,110.908,4297.512808,2019-07-23T00:00:00.0000000Z,0,0
July,2019-07-28T00:00:00.0000000Z,10408.9,34178.16062,2019-07-28T00:00:00.0000000Z,217.38,185457.6088,2019-07-28T00:00:00.0000000Z,98.94,166315.7152,2019-07-28T00:00:00.0000000Z,0.05872,35160561.9,2019-07-28T00:00:00.0000000Z,0,0,2019-07-28T00:00:00.0000000Z,0.083084,9876794.2,2019-07-28T00:00:00.0000000Z,0.31656,36842800.95,2019-07-28T00:00:00.0000000Z,0,0,2019-07-28T00:00:00.0000000Z,0,0,2019-07-28T00:00:00.0000000Z,0.31656,36842800.95,2019-07-28T00:00:00.0000000Z,0,0,2019-07-28T00:00:00.0000000Z,1.0016,7869153.259,2019-07-28T00:00:00.0000000Z,107.068,12063.99341,2019-07-28T00:00:00.0000000Z,0,0
Aug,2019-08-02T00:00:00.0000000Z,11458.8,47199.93392,2019-08-02T00:00:00.0000000Z,226.1,185112.6444,2019-08-02T00:00:00.0000000Z,93.04,206080.3879,2019-08-02T00:00:00.0000000Z,0.053462,32470562.17,2019-08-02T00:00:00.0000000Z,0,0,2019-08-02T00:00:00.0000000Z,0.078511,11290042.62,2019-08-02T00:00:00.0000000Z,0.31103,35732976.96,2019-08-02T00:00:00.0000000Z,0,0,2019-08-02T00:00:00.0000000Z,0,0,2019-08-02T00:00:00.0000000Z,0.31103,35732976.96,2019-08-02T00:00:00.0000000Z,0,0,2019-08-02T00:00:00.0000000Z,0.9991,13772446.73,2019-08-02T00:00:00.0000000Z,106,22788.6988,2019-08-02T00:00:00.0000000Z,0,0
Aug,2019-08-07T00:00:00.0000000Z,11526.7,40124.15651,2019-08-07T00:00:00.0000000Z,216.28,203146.1877,2019-08-07T00:00:00.0000000Z,89.87,172619.2992,2019-08-07T00:00:00.0000000Z,0.054842,43337678.94,2019-08-07T00:00:00.0000000Z,0,0,2019-08-07T00:00:00.0000000Z,0.07832,17187056.98,2019-08-07T00:00:00.0000000Z,0.30216,44067885.23,2019-08-07T00:00:00.0000000Z,0,0,2019-08-07T00:00:00.0000000Z,0,0,2019-08-07T00:00:00.0000000Z,0.30216,44067885.23,2019-08-07T00:00:00.0000000Z,0,0,2019-08-07T00:00:00.0000000Z,0.9989,11627238.85,2019-08-07T00:00:00.0000000Z,106.606,21664.22367,2019-08-07T00:00:00.0000000Z,0,0
Aug,2019-08-12T00:00:00.0000000Z,10362.1,52139.34162,2019-08-12T00:00:00.0000000Z,185.5,233734.2266,2019-08-12T00:00:00.0000000Z,74.83,185664.4215,2019-08-12T00:00:00.0000000Z,0.046711,57170423.86,2019-08-12T00:00:00.0000000Z,0,0,2019-08-12T00:00:00.0000000Z,0.06859,15689493.93,2019-08-12T00:00:00.0000000Z,0.26111,79075554.08,2019-08-12T00:00:00.0000000Z,0,0,2019-08-12T00:00:00.0000000Z,0,0,2019-08-12T00:00:00.0000000Z,0.26111,79075554.08,2019-08-12T00:00:00.0000000Z,0,0,2019-08-12T00:00:00.0000000Z,1.0013,10375084.22,2019-08-12T00:00:00.0000000Z,93.648,23723.51337,2019-08-12T00:00:00.0000000Z,0,0
