Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,DOGE_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,LISK_start_date,price_close,volume_traded,WAVES_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,SC_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,LINK_start_date,price_close,volume_traded,SOL_start_date,price_close,volume_traded
Feb,2021-02-17T00:00:00.0000000Z,57478.3,29059.49562,2021-02-17T00:00:00.0000000Z,1935.44,455184.0744,2021-02-17T00:00:00.0000000Z,227.53,632583.9445,2021-02-17T00:00:00.0000000Z,1.10084,378239665.2,2021-02-17T00:00:00.0000000Z,0.0560733,1785738341,2021-02-17T00:00:00.0000000Z,0.496292,89875530.19,2021-02-17T00:00:00.0000000Z,0.54515,170184932,2021-02-17T00:00:00.0000000Z,3.879915,875952.0771,2021-02-17T00:00:00.0000000Z,12.3459,669742.4268,2021-02-17T00:00:00.0000000Z,0.54515,170184932,2021-02-17T00:00:00.0000000Z,12.3459,669742.4268,2021-02-17T00:00:00.0000000Z,1.0012,360315473.3,2021-02-17T00:00:00.0000000Z,302.034,124650.8093,2021-02-17T00:00:00.0000000Z,34.16926,2627972.694,2021-02-17T00:00:00.0000000Z,0,0
Feb,2021-02-22T00:00:00.0000000Z,46314.5,55064.52886,2021-02-22T00:00:00.0000000Z,1445.33,942832.904,2021-02-22T00:00:00.0000000Z,170.41,1073533.719,2021-02-22T00:00:00.0000000Z,1.242939,689581677.7,2021-02-22T00:00:00.0000000Z,0.0505512,1601839445,2021-02-22T00:00:00.0000000Z,0.400193,148355245.6,2021-02-22T00:00:00.0000000Z,0.42821,303143537.2,2021-02-22T00:00:00.0000000Z,3.01013,1230668.243,2021-02-22T00:00:00.0000000Z,9.5338,1583032.332,2021-02-22T00:00:00.0000000Z,0.42821,303143537.2,2021-02-22T00:00:00.0000000Z,9.5338,1583032.332,2021-02-22T00:00:00.0000000Z,1.0001,712674558.9,2021-02-22T00:00:00.0000000Z,206.482,107656.3538,2021-02-22T00:00:00.0000000Z,25.15992,5621432.715,2021-02-22T00:00:00.0000000Z,0,0
Feb,2021-02-27T00:00:00.0000000Z,50400,30561.30546,2021-02-27T00:00:00.0000000Z,1571.83,592916.6898,2021-02-27T00:00:00.0000000Z,187.96,530476.493,2021-02-27T00:00:00.0000000Z,1.215688,478620787,2021-02-27T00:00:00.0000000Z,0.0505212,522623468.6,2021-02-27T00:00:00.0000000Z,0.4214,88557688.94,2021-02-27T00:00:00.0000000Z,0.44935,91823792.86,2021-02-27T00:00:00.0000000Z,3.243666,536601.8486,2021-02-27T00:00:00.0000000Z,9.9088,287566.2684,2021-02-27T00:00:00.0000000Z,0.44935,91823792.86,2021-02-27T00:00:00.0000000Z,9.9088,287566.2684,2021-02-27T00:00:00.0000000Z,1.0003,411594366.4,2021-02-27T00:00:00.0000000Z,222.421,50441.80603,2021-02-27T00:00:00.0000000Z,29.95,3087349.184,2021-02-27T00:00:00.0000000Z,0,0
March,2021-03-04T00:00:00.0000000Z,52375,27000.25789,2021-03-04T00:00:00.0000000Z,1833.68,432537.6356,2021-03-04T00:00:00.0000000Z,191.76,315924.7655,2021-03-04T00:00:00.0000000Z,1.118559,275505526.8,2021-03-04T00:00:00.0000000Z,0.0631526,712611545,2021-03-04T00:00:00.0000000Z,0.418406,38173809.3,2021-03-04T00:00:00.0000000Z,0.47441,86545704.93,2021-03-04T00:00:00.0000000Z,3.282446,317615.5831,2021-03-04T00:00:00.0000000Z,10.1433,189052.4877,2021-03-04T00:00:00.0000000Z,0.47441,86545704.93,2021-03-04T00:00:00.0000000Z,10.1433,189052.4877,2021-03-04T00:00:00.0000000Z,1.0005,400947818.8,2021-03-04T00:00:00.0000000Z,218.748,24412.12618,2021-03-04T00:00:00.0000000Z,31.82858,2458063.203,2021-03-04T00:00:00.0000000Z,0,0
March,2021-03-09T00:00:00.0000000Z,61174.9,32303.02028,2021-03-09T00:00:00.0000000Z,1920.17,371124.3717,2021-03-09T00:00:00.0000000Z,225.95,494992.492,2021-03-09T00:00:00.0000000Z,1.100964,224520231.9,2021-03-09T00:00:00.0000000Z,0.0626825,635741228.5,2021-03-09T00:00:00.0000000Z,0.40788,57645528.14,2021-03-09T00:00:00.0000000Z,0.458,61439175.52,2021-03-09T00:00:00.0000000Z,3.315459,218313.8048,2021-03-09T00:00:00.0000000Z,10.1791,162607.2799,2021-03-09T00:00:00.0000000Z,0.458,61439175.52,2021-03-09T00:00:00.0000000Z,10.1791,162607.2799,2021-03-09T00:00:00.0000000Z,0.9996,522615752,2021-03-09T00:00:00.0000000Z,243.44,34998.53347,2021-03-09T00:00:00.0000000Z,29.74675,2000725.968,2021-03-09T00:00:00.0000000Z,0,0
March,2021-03-14T00:00:00.0000000Z,57640.9,28707.32593,2021-03-14T00:00:00.0000000Z,1776.57,264936.5071,2021-03-14T00:00:00.0000000Z,199.83,369019.8508,2021-03-14T00:00:00.0000000Z,1.230974,390550524.1,2021-03-14T00:00:00.0000000Z,0.0573107,690017974,2021-03-14T00:00:00.0000000Z,0.394688,46539860.32,2021-03-14T00:00:00.0000000Z,0.46898,99731560.91,2021-03-14T00:00:00.0000000Z,3.74,400918.5439,2021-03-14T00:00:00.0000000Z,10.3362,220339.6325,2021-03-14T00:00:00.0000000Z,0.46898,99731560.91,2021-03-14T00:00:00.0000000Z,10.3362,220339.6325,2021-03-14T00:00:00.0000000Z,0.9999,606509289.5,2021-03-14T00:00:00.0000000Z,226.239,21097.50271,2021-03-14T00:00:00.0000000Z,29.4455,1893479.72,2021-03-14T00:00:00.0000000Z,0,0
March,2021-03-19T00:00:00.0000000Z,54351.3,22276.61297,2021-03-19T00:00:00.0000000Z,1668.4,211663.9256,2021-03-19T00:00:00.0000000Z,186.12,216179.3494,2021-03-19T00:00:00.0000000Z,1.115531,221287088.8,2021-03-19T00:00:00.0000000Z,0.0534086,381875795.9,2021-03-19T00:00:00.0000000Z,0.3952,48778608.73,2021-03-19T00:00:00.0000000Z,0.54963,172874324,2021-03-19T00:00:00.0000000Z,4.980808,885174.9137,2021-03-19T00:00:00.0000000Z,11.23,364228.5246,2021-03-19T00:00:00.0000000Z,0.54963,172874324,2021-03-19T00:00:00.0000000Z,11.23,364228.5246,2021-03-19T00:00:00.0000000Z,1,538446337.7,2021-03-19T00:00:00.0000000Z,208.084,23440.68415,2021-03-19T00:00:00.0000000Z,26.79656,1449354.754,2021-03-19T00:00:00.0000000Z,0,0
March,2021-03-24T00:00:00.0000000Z,55782,26822.40345,2021-03-24T00:00:00.0000000Z,1685.98,207435.4855,2021-03-24T00:00:00.0000000Z,184.06,209501.474,2021-03-24T00:00:00.0000000Z,1.189723,158009842.7,2021-03-24T00:00:00.0000000Z,0.0536679,310938082.8,2021-03-24T00:00:00.0000000Z,0.396485,37076666.53,2021-03-24T00:00:00.0000000Z,0.54765,117320258.6,2021-03-24T00:00:00.0000000Z,4.845784,930296.0296,2021-03-24T00:00:00.0000000Z,11.7768,575631.005,2021-03-24T00:00:00.0000000Z,0.54765,117320258.6,2021-03-24T00:00:00.0000000Z,11.7768,575631.005,2021-03-24T00:00:00.0000000Z,0.9997,458877514.9,2021-03-24T00:00:00.0000000Z,207.554,25346.32549,2021-03-24T00:00:00.0000000Z,26.65761,1368496.855,2021-03-24T00:00:00.0000000Z,0,0
March,2021-03-29T00:00:00.0000000Z,59020.7,21927.51361,2021-03-29T00:00:00.0000000Z,2134.29,331542.6338,2021-03-29T00:00:00.0000000Z,211.66,275306.2045,2021-03-29T00:00:00.0000000Z,1.19136,96170352.64,2021-03-29T00:00:00.0000000Z,0.0576568,664623698.1,2021-03-29T00:00:00.0000000Z,0.439514,62981047.07,2021-03-29T00:00:00.0000000Z,0.60649,99031430.29,2021-03-29T00:00:00.0000000Z,5.992722,549865.8902,2021-03-29T00:00:00.0000000Z,13.0315,213016.7738,2021-03-29T00:00:00.0000000Z,0.60649,99031430.29,2021-03-29T00:00:00.0000000Z,13.0315,213016.7738,2021-03-29T00:00:00.0000000Z,1.0001,574372887.9,2021-03-29T00:00:00.0000000Z,243.948,38504.51658,2021-03-29T00:00:00.0000000Z,32.47581,1599947.183,2021-03-29T00:00:00.0000000Z,0,0
April,2021-04-03T00:00:00.0000000Z,55928.5,16867.21905,2021-04-03T00:00:00.0000000Z,1961.94,276697.7968,2021-04-03T00:00:00.0000000Z,219.35,535666.0737,2021-04-03T00:00:00.0000000Z,1.173699,125341701.4,2021-04-03T00:00:00.0000000Z,0.0587051,579914419.8,2021-04-03T00:00:00.0000000Z,0.474148,104456373.6,2021-04-03T00:00:00.0000000Z,0.91441,369099191,2021-04-03T00:00:00.0000000Z,6.225277,489276.3615,2021-04-03T00:00:00.0000000Z,12.1163,308576.8934,2021-04-03T00:00:00.0000000Z,0.91441,369099191,2021-04-03T00:00:00.0000000Z,12.1163,308576.8934,2021-04-03T00:00:00.0000000Z,0.9998,439698753.6,2021-04-03T00:00:00.0000000Z,253.442,68020.38697,2021-04-03T00:00:00.0000000Z,31.10958,2095484.519,2021-04-03T00:00:00.0000000Z,0,0
